x,y
8,0.775
11.7,0.775
8,3.775
11.7,3.775
8,6.775
11.7,6.775
0,10
3.85,10
7.85,10
11.85,10
15.85,10
19.7,10
0,12.775
3.85,12.775
7.85,12.775
11.85,12.775
15.85,12.775
19.7,12.775
0,15.775
3.85,15.775
7.85,15.775
11.85,15.775
15.85,15.775
19.7,15.775
0,18.775
3.85,18.775
7.85,18.775
11.85,18.775
15.85,18.775
19.7,18.775
0,21.775
3.85,21.775
7.85,21.775
11.85,21.775
15.85,21.775
19.7,21.775
0,24.775
3.85,24.775
7.85,24.775
11.85,24.775
15.85,24.775
19.7,24.775
0,27.55
3.85,27.55
7.85,27.55
11.85,27.55
15.85,27.55
19.7,27.55
